model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
AIRI-Institute/gena-lm-bert-base-athaliana,-8.381022,0.7260583,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8631545556160756,p8_ee36_auto_euc,8,36,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-yeast,-13.339161,-33.91975,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.7947921711334538,p8_ee36_auto_euc,8,36,auto,euclidean,pca
PoetschLab/GROVER,-3.4638686,6.6251664,V_d,tsne,GROVER,mlm_or_encoder,PoetschLab,0.8671038447106474,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/PlantCAD2-Small-l24-d0768,16.200193,11.134962,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8884170475709195,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/PlantCAD2-Medium-l48-d1024,17.28524,11.340427,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8850322169556907,p8_ee36_auto_euc,8,36,auto,euclidean,pca
kuleshov-group/PlantCAD2-Large-l48-d1536,17.163822,12.203539,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8885135504845132,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenerTeam/GENERator-v2-eukaryote-1.2b-base,12.655908,30.250559,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9160398018093819,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenerTeam/GENERator-v2-eukaryote-3b-base,12.947966,31.890621,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9258188828698207,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenerTeam/GENERator-v2-prokaryote-1.2b-base,-10.416331,-2.5325913,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8475775736175143,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenerTeam/GENERator-v2-prokaryote-3b-base,-11.522188,-3.8405943,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8647661365519584,p8_ee36_auto_euc,8,36,auto,euclidean,pca
